Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
0;Arcade;ArcadeCar-99991;3625;23;23;72,49594;300;29,4546;75;35,07432;0;0
1;Arcade;ArcadeCar-99991;3754;23;23;75,082;300;27,90978;75;38,754;0;0
2;Arcade;ArcadeCar-99991;3650;23;23;72,99982;300;29,08328;75;34,92524;0;0
3;Arcade;ArcadeCar-99991;3786;23;23;75,71945;300;28,11298;75;37,70485;0;0
4;Arcade;ArcadeCar-99991;3713;23;23;74,2585;300;28,52712;75;36,98352;0;0
5;Arcade;ArcadeCar-99991;3700;23;23;73,98527;300;28,93864;75;36,10649;0;0
6;Arcade;ArcadeCar-99991;3709;23;23;74,19682;300;28,79361;75;35,78218;0;0
7;Arcade;ArcadeCar-99991;3490;23;23;69,79915;300;30,04805;75;32,36158;0;0
8;Arcade;ArcadeCar-99991;3200;23;23;64,00218;300;33,45863;75;24,21322;0;0
9;Arcade;ArcadeCar-99991;3196;23;23;63,91715;300;33,43941;75;23,97775;0;0
10;Arcade;ArcadeCar-99991;3735;23;23;74,70087;300;28,43029;75;36,46318;0;0
11;Arcade;ArcadeCar-99991;3566;23;23;71,32004;300;29,36739;75;33,87778;0;0
12;Arcade;ArcadeCar-99991;3714;23;23;74,26576;300;28,8606;75;35,83943;0;0
13;Arcade;ArcadeCar-99991;3657;23;23;73,15276;300;29,26632;75;35,19998;0;0
14;Arcade;ArcadeCar-99991;3645;23;23;72,89957;300;29,18898;75;34,81247;0;0
15;Arcade;ArcadeCar-99991;3835;23;23;76,69991;300;27,95397;75;37,88142;0;0
16;Arcade;ArcadeCar-99991;3458;23;23;69,15945;300;30,30106;75;31,55115;0;0
17;Arcade;ArcadeCar-99991;3711;23;23;74,22334;300;28,57944;75;36,40815;0;0
18;Arcade;ArcadeCar-99991;3710;23;23;74,19764;300;28,07764;75;38,57443;0;0
19;Arcade;ArcadeCar-99991;3720;23;23;74,38464;300;28,64011;75;36,07074;0;0
20;Arcade;ArcadeCar-99991;3695;23;23;73,91567;300;28,48525;75;36,27946;0;0
21;Arcade;ArcadeCar-99991;3656;23;23;73,11973;300;28,9224;75;35,56162;0;0
22;Arcade;ArcadeCar-99991;3707;23;23;74,14176;300;28,75839;75;35,81557;0;0
23;Arcade;ArcadeCar-99991;3751;23;23;75,01808;300;28,46395;75;37,03784;0;0
24;Arcade;ArcadeCar-99991;3287;23;23;65,73903;300;32,21815;75;26,21337;0;0
25;Arcade;ArcadeCar-99991;3604;23;23;72,06617;300;29,29516;75;34,38594;0;0
0;Arcade;ArcadeCar-199933;2646;23;23;52,92162;300;40,12002;75;12,33719;0;0
1;Arcade;ArcadeCar-199933;2695;23;23;53,91514;300;39,42946;75;13,24681;0;0
2;Arcade;ArcadeCar-199933;2811;23;23;56,20431;300;37,7423;75;15,85722;0;0
3;Arcade;ArcadeCar-199933;2978;23;23;59,55986;300;35,8001;75;19,37541;0;0
4;Arcade;ArcadeCar-199933;2703;23;23;54,07478;300;39,22091;75;14,88672;0;0
5;Arcade;ArcadeCar-199933;2722;23;23;54,44036;300;39,25245;75;13,55503;0;0
6;Arcade;ArcadeCar-199933;2697;23;23;53,93895;300;39,39611;75;14,21474;0;0
7;Arcade;ArcadeCar-199933;2794;23;23;55,87989;300;38,14466;75;15,76596;0;0
8;Arcade;ArcadeCar-199933;2726;23;23;54,51895;300;38,94983;75;14,5568;0;0
9;Arcade;ArcadeCar-199933;2820;23;23;56,38611;300;37,58914;75;15,6481;0;0
10;Arcade;ArcadeCar-199933;2580;23;23;51,61414;300;41,01751;75;11,93475;0;0
11;Arcade;ArcadeCar-199933;2964;23;23;59,26406;300;35,8003;75;19,78787;0;0
12;Arcade;ArcadeCar-199933;2629;23;23;52,59508;300;40,13821;75;12,66061;0;0
13;Arcade;ArcadeCar-199933;2957;23;23;59,14375;300;36,20613;75;18,84353;0;0
14;Arcade;ArcadeCar-199933;2940;23;23;58,78442;300;35,95116;75;19,93995;0;0
15;Arcade;ArcadeCar-199933;2665;23;23;53,31264;300;39,54786;75;14,36707;0;0
16;Arcade;ArcadeCar-199933;3591;23;23;71,82146;300;29,36079;75;32,9528;0;0
17;Arcade;ArcadeCar-199933;2668;23;23;53,35771;300;39,97416;75;13,28989;0;0
18;Arcade;ArcadeCar-199933;2671;23;23;53,42293;300;39,93295;75;12,67121;0;0
