Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
0;Arcade;ArcadeCar-T;2951;23;23;58,9762;300;37,09888;75;10,59278;7;33
1;Arcade;ArcadeCar-T;2963;23;23;59,2688;300;37,77956;75;17,22523;10;25
2;Arcade;ArcadeCar-T;3403;23;23;68,06336;300;32,55502;75;10,35553;19;32
3;Arcade;ArcadeCar-T;3131;23;23;62,64447;300;35,20522;75;13,50615;27;30
4;Arcade;ArcadeCar-T;2930;23;23;58,58083;300;37,62868;75;10,30412;34;30
5;Arcade;ArcadeCar-T;3553;23;23;71,0525;300;30,765;75;20,2323;40;31
6;Arcade;ArcadeCar-T;3574;23;23;71,48564;300;30,63223;75;28,74173;44;31
7;Arcade;ArcadeCar-T;2995;23;23;59,91085;300;36,36904;75;15,94535;47;33
8;Arcade;ArcadeCar-T;3978;23;23;79,55639;300;27,56308;75;18,32441;56;31
9;Arcade;ArcadeCar-T;3191;23;23;63,78409;300;34,17436;75;17,71076;60;30
10;Arcade;ArcadeCar-T;3189;23;23;63,80849;300;34,86261;75;11,4823;66;30
11;Arcade;ArcadeCar-T;14998;16;23;300;300;5,45094;75;7,117135;69;32
12;Arcade;ArcadeCar-T;2899;23;23;57,95963;300;37,0982;75;12,8942;72;32
13;Arcade;ArcadeCar-T;2674;23;23;53,43842;300;40,96083;75;9,287855;75;31
14;Arcade;ArcadeCar-T;2860;23;23;57,21477;300;37,8786;75;15,9815;79;29
15;Arcade;ArcadeCar-T;3380;23;23;67,60629;300;32,19709;75;19,25472;83;30
16;Arcade;ArcadeCar-T;2868;23;23;57,3756;300;38,01537;75;12,34544;86;26
17;Arcade;ArcadeCar-T;2650;23;23;52,96066;300;41,9894;75;9,521102;91;32
18;Arcade;ArcadeCar-T;3056;23;23;61,13747;300;35,90012;75;16,66334;96;23
19;Arcade;ArcadeCar-T;3218;23;23;64,34315;300;33,30729;75;14,91276;101;28
20;Arcade;ArcadeCar-T;2688;23;23;53,76302;300;40,50103;75;10,21905;104;24
21;Arcade;ArcadeCar-T;2592;23;23;51,84916;300;42,3514;75;9,996652;105;35
22;Arcade;ArcadeCar-T;2830;23;23;56,59205;300;38,87906;75;11,87303;108;34
23;Arcade;ArcadeCar-T;2814;23;23;56,29624;300;38,80838;75;9,560798;112;24
24;Arcade;ArcadeCar-T;3230;23;23;64,58249;300;34,19501;75;18,10611;116;22
25;Arcade;ArcadeCar-T;2862;23;23;57,26923;300;38,65684;75;13,37725;120;32
26;Arcade;ArcadeCar-T;3535;23;23;68,3;300;31,81211;75;22,37336;126;30
27;Arcade;ArcadeCar-T;2925;23;23;60,89193;300;37,82899;75;10,25404;132;32
28;Arcade;ArcadeCar-T;3121;23;23;60,39579;300;35,59096;75;11,45885;140;30
29;Arcade;ArcadeCar-T;2308;23;23;48,19975;300;47,67033;75;5,831326;142;33
30;Arcade;ArcadeCar-T;2947;23;23;56,2046;300;37,62685;75;19,00609;145;26
31;Arcade;ArcadeCar-T;2095;17;23;300;300;40,85827;75;9,884964;146;27
32;Arcade;ArcadeCar-T;2981;23;23;61,28616;300;37,51385;75;11,30347;151;32
33;Arcade;ArcadeCar-T;2787;23;23;55,90843;300;39,47752;75;12,09325;154;32
34;Arcade;ArcadeCar-T;3100;23;23;60,63709;300;35,54348;75;17,13875;158;27
35;Arcade;ArcadeCar-T;2942;23;23;59,71823;300;37,29501;75;13,04877;164;27
36;Arcade;ArcadeCar-T;2800;23;23;56,40604;300;39,43205;75;15,11755;168;32
37;Arcade;ArcadeCar-T;2527;23;23;47,61516;300;43,40892;75;8,049031;170;33
38;Arcade;ArcadeCar-T;14865;16;23;300;300;5,518221;75;13,53942;173;28
39;Arcade;ArcadeCar-T;3994;23;23;79,34138;300;29,48943;75;37,92455;181;30
40;Arcade;ArcadeCar-T;3042;23;23;60,49302;300;36,12563;75;13,88885;184;31
41;Arcade;ArcadeCar-T;3017;23;23;61,13689;300;36,62347;75;17,88298;190;32
42;Arcade;ArcadeCar-T;3550;23;23;70,03806;300;30,88062;75;21,70894;196;27
43;Arcade;ArcadeCar-T;3314;23;23;66,60859;300;32,99541;75;19,46713;201;31
44;Arcade;ArcadeCar-T;2968;23;23;59,68426;300;36,85125;75;15,67839;206;29
45;Arcade;ArcadeCar-T;2739;23;23;53,40248;300;39,42844;75;15,43433;209;30
46;Arcade;ArcadeCar-T;2662;23;23;51,67608;300;41,15788;75;10,09173;212;33
