Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;ArcadeCar-599946;3103;23;23;62,05545;300;34,71701;75;7,765995;8;31;
1;Arcade;ArcadeCar-599946;2647;23;23;52,9255;300;40,58775;75;6,10546;12;32;
2;Arcade;ArcadeCar-599946;2670;23;23;53,39952;300;40,69709;75;8,424572;15;23;
3;Arcade;ArcadeCar-599946;3870;23;23;77,41887;300;28,30752;75;8,298494;22;33;
4;Arcade;ArcadeCar-599946;5588;23;23;111,7466;300;19,27493;75;8,449381;26;30;
5;Arcade;ArcadeCar-599946;2917;23;23;58,3534;300;37,71581;75;8,288876;33;30;
6;Arcade;ArcadeCar-599946;9533;23;23;190,6418;300;11,63354;75;143,0249;39;27;
7;Arcade;ArcadeCar-599946;2651;23;23;53,03717;300;40,70017;75;10,22613;42;28;
8;Arcade;ArcadeCar-599946;2543;23;23;50,84123;300;42,69135;75;8,247582;43;27;
9;Arcade;ArcadeCar-599946;14999;7;23;300;300;2,89359;75;285,4156;45;29;
10;Arcade;ArcadeCar-599946;15000;4;23;300;300;1,791466;75;2,719176;46;27;
11;Arcade;ArcadeCar-599946;2977;23;23;59,51991;300;36,99239;75;8,382691;49;26;
12;Arcade;ArcadeCar-599946;3159;23;23;63,19499;300;34,33714;75;6,929487;54;30;
13;Arcade;ArcadeCar-599946;3014;23;23;60,27924;300;36,1233;75;9,896403;59;27;
14;Arcade;ArcadeCar-599946;2868;23;23;57,35812;300;38,10096;75;9,722332;63;23;
15;Arcade;ArcadeCar-599946;3204;23;23;64,08116;300;33,49131;75;11,73805;66;29;
16;Arcade;ArcadeCar-599946;3165;23;23;63,2845;300;34,24844;75;12,58999;74;30;
17;Arcade;ArcadeCar-599946;3057;23;23;61,12487;300;35,34518;75;13,19837;80;33;
18;Arcade;ArcadeCar-599946;2962;23;23;59,27022;300;37,13893;75;7,322847;85;26;
19;Arcade;ArcadeCar-599946;4091;23;23;81,80605;300;26,52821;75;11,64448;87;28;
20;Arcade;ArcadeCar-599946;3053;23;23;61,07301;300;35,98471;75;13,50217;92;29;
21;Arcade;ArcadeCar-599946;15000;10;23;300;300;3,46013;75;4,862122;93;33;
22;Arcade;ArcadeCar-599946;5683;23;23;113,6389;300;19,01491;75;5,962996;101;34;
23;Arcade;ArcadeCar-599946;14999;15;23;300;300;5,039252;75;274,1725;104;31;
24;Arcade;ArcadeCar-599946;3028;23;23;60,55318;300;35,83321;75;9,078526;111;31;
25;Arcade;ArcadeCar-599946;2918;23;23;58,35878;300;37,13664;75;8,171214;116;36;
26;Arcade;ArcadeCar-599946;3120;23;23;62,40203;300;35,98368;75;8,483269;122;30;
27;Arcade;ArcadeCar-599946;2751;23;23;55,00401;300;39,32122;75;11,49823;127;34;
28;Arcade;ArcadeCar-599946;15000;17;23;300;300;5,807141;75;6,262979;132;31;
29;Arcade;ArcadeCar-599946;2457;23;23;49,1346;300;44,02532;75;8,458749;133;25;
30;Arcade;ArcadeCar-599946;2818;23;23;56,3631;300;38,18291;75;4,478403;144;30;
