Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;Obstacle Time
0;Arcade;ArcadeCar;1963;17;17;39,25423;300;36,42961;75;4,024547;4;21;1,851522
1;Arcade;ArcadeCar;3986;17;17;79,71832;300;17,84323;75;5,014168;3;19;43,26609
2;Arcade;ArcadeCar;4721;17;17;94,42587;300;15,19588;75;3,8783;3;19;59,71716
3;Arcade;ArcadeCar;1750;17;17;34,99973;300;40,88115;75;5,661948;1;19;0,1626424
4;Arcade;ArcadeCar;1713;17;17;34,25824;300;41,21251;75;5,625216;0;18;0
5;Arcade;ArcadeCar;1657;17;17;33,14167;300;42,82782;75;3,977856;1;21;0,04140121
6;Arcade;ArcadeCar;2017;17;17;40,3361;300;34,66686;75;6,074512;3;16;2,794205
7;Arcade;ArcadeCar;1636;17;17;32,72211;300;42,89755;75;4,030167;1;20;0,0387076
8;Arcade;ArcadeCar;2133;17;17;42,65639;300;33,64326;75;3,463936;5;21;4,660468
9;Arcade;ArcadeCar;1717;17;17;34,34213;300;41,11496;75;4,36397;2;20;0,1152122
10;Arcade;ArcadeCar;1725;17;17;34,49858;300;41,0478;75;3,381343;3;16;0,4441598
11;Arcade;ArcadeCar;2113;17;17;42,26441;300;33,33704;75;11,94515;3;20;0,1771052
12;Arcade;ArcadeCar;1710;17;17;34,19612;300;41,03147;75;3,49277;3;21;0,0659242
13;Arcade;ArcadeCar;2049;17;17;40,98183;300;33,90819;75;4,729551;5;17;2,81832
14;Arcade;ArcadeCar;1880;17;17;37,59869;300;37,7067;75;3,856661;4;19;1,538596
15;Arcade;ArcadeCar;2858;17;17;57,16458;300;24,90007;75;20,41285;5;24;6,088204
16;Arcade;ArcadeCar;1920;17;17;38,39787;300;36,60998;75;5,268291;5;18;1,314383
17;Arcade;ArcadeCar;1729;17;17;34,57654;300;40,69336;75;3,435015;3;20;0,9575912
18;Arcade;ArcadeCar;2080;17;17;41,60386;300;33,74131;75;10,35056;2;19;2,69694
19;Arcade;ArcadeCar;1702;17;17;34,0388;300;42,13706;75;4,669871;0;15;0
20;Arcade;ArcadeCar;1838;17;17;36,7561;300;37,71491;75;4,985001;2;16;1,052836
21;Arcade;ArcadeCar;1780;17;17;35,6028;300;39,03244;75;5,375227;2;20;0,4850971
22;Arcade;ArcadeCar;2214;17;17;44,28386;300;31,84207;75;10,51443;4;22;2,475541
23;Arcade;ArcadeCar;1917;17;17;38,32836;300;37,44252;75;4,411283;3;18;0,6201556
24;Arcade;ArcadeCar;2143;17;17;42,86481;300;32,09216;75;10,85351;3;20;2,235489
25;Arcade;ArcadeCar;2140;17;17;42,80658;300;33,13548;75;4,381989;5;22;3,728219
26;Arcade;ArcadeCar;1654;17;17;33,08038;300;42,45152;75;3,75976;1;19;0,0794914
27;Arcade;ArcadeCar;2154;17;17;43,07602;300;32,88292;75;10,86065;4;24;4,401328
28;Arcade;ArcadeCar;1911;17;17;38,2229;300;37,38264;75;6,586858;2;19;0,4393461
29;Arcade;ArcadeCar;1948;17;17;38,95579;300;35,89333;75;5,314974;4;18;1,286161
30;Arcade;ArcadeCar;10144;17;17;202,883;300;7,343874;75;4,536704;5;18;164,7928
31;Arcade;ArcadeCar;1793;17;17;35,86044;300;39,38671;75;3,67872;2;22;1,137305
32;Arcade;ArcadeCar;1639;17;17;32,77399;300;42,27634;75;5,244915;0;23;0
33;Arcade;ArcadeCar;1943;17;17;38,86418;300;36,40209;75;4,787402;4;18;1,772536
34;Arcade;ArcadeCar;2023;17;17;40,45751;300;34,09644;75;8,060668;2;19;2,092445
35;Arcade;ArcadeCar;1911;17;17;38,22488;300;36,54003;75;3,312512;4;18;2,531212
36;Arcade;ArcadeCar;1859;17;17;37,1793;300;38,54749;75;5,292695;3;20;1,53514
37;Arcade;ArcadeCar;1818;17;17;36,35421;300;38,74518;75;3,068477;2;20;1,606654
38;Arcade;ArcadeCar;2160;17;17;43,2035;300;33,15489;75;8,788881;2;16;2,832044
39;Arcade;ArcadeCar;1944;17;17;38,88087;300;36,54379;75;4,802314;4;23;2,158097
40;Arcade;ArcadeCar;1658;17;17;33,16014;300;41,59273;75;3,747519;1;21;0,1481666
41;Arcade;ArcadeCar;1680;17;17;33,59366;300;41,71058;75;5,055054;0;14;0
42;Arcade;ArcadeCar;2016;17;17;40,32792;300;35,21734;75;3,987224;4;17;3,996293
43;Arcade;ArcadeCar;1907;17;17;38,13825;300;36,6323;75;3,716038;3;17;3,310504
44;Arcade;ArcadeCar;2247;17;17;44,94183;300;31,99977;75;5,677864;5;19;4,772804
45;Arcade;ArcadeCar;1764;17;17;35,27614;300;40,59416;75;6,290064;1;19;0,05524341
46;Arcade;ArcadeCar;2119;17;17;42,37851;300;34,16489;75;7,456527;5;23;1,437962
47;Arcade;ArcadeCar;2121;17;17;42,42382;300;33,1384;75;4,603631;5;22;4,14554
48;Arcade;ArcadeCar;1787;17;17;35,73963;300;39,52831;75;3,913419;2;15;0,4453507
49;Arcade;ArcadeCar;2158;17;17;43,16218;300;32,55954;75;8,304444;4;18;4,155699
50;Arcade;ArcadeCar;2034;17;17;40,67476;300;35,44591;75;5,572682;6;21;1,993374
0;Arcade;ArcadeCar-00000;13888;17;17;277,762;300;5,558269;75;17,15285;3;23;225,023
1;Arcade;ArcadeCar-00000;2321;17;17;46,42139;300;31,19203;75;12,4493;1;16;0,04113139
2;Arcade;ArcadeCar-00000;4616;17;17;92,31694;300;15,79597;75;15,52846;6;17;39,69101
3;Arcade;ArcadeCar-00000;2618;17;17;52,35958;300;26,71252;75;18,46302;2;17;0,7048193
4;Arcade;ArcadeCar-00000;2514;17;17;50,2829;300;28,22948;75;14,76756;3;21;1,60199
5;Arcade;ArcadeCar-00000;2412;17;17;48,23893;300;30,201;75;12,86335;2;15;0,6006398
6;Arcade;ArcadeCar-00000;2717;17;17;54,34276;300;26,06479;75;17,25502;3;20;1,371115
7;Arcade;ArcadeCar-00000;2522;17;17;50,43378;300;27,89857;75;12,54969;4;21;2,781058
8;Arcade;ArcadeCar-00000;2687;17;17;53,74327;300;25,44858;75;19,77012;3;17;2,021073
9;Arcade;ArcadeCar-00000;2881;17;17;57,61586;300;24,24594;75;17,4949;7;17;3,667538
10;Arcade;ArcadeCar-00000;9228;17;17;184,5639;300;8,270451;75;29,21791;1;22;121,0453
11;Arcade;ArcadeCar-00000;14999;2;17;300;300;1,099123;75;0,2637842;1;20;294,4956
12;Arcade;ArcadeCar-00000;1993;17;17;39,83689;300;35,36507;75;8,450933;0;20;0
13;Arcade;ArcadeCar-00000;15000;12;17;300;300;3,799476;75;264,3081;2;20;258,4988
