Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;Obstacle Time
0;Arcade;ArcadeCar-000000;3964;17;17;79,27795;300;18,27612;75;29,41739;3;22;20,60839
1;Arcade;ArcadeCar-000000;14999;3;17;300;300;1,580055;75;1,248459;3;25;288,871
2;Arcade;ArcadeCar-000000;15000;5;17;300;300;2,076465;75;2,26616;2;21;285,7749
3;Arcade;ArcadeCar-000000;15001;5;17;300;300;2,088148;75;0,8065375;2;20;286,5522
4;Arcade;ArcadeCar-000000;2903;17;17;58,05612;300;23,11363;75;26,31743;2;22;2,870143
5;Arcade;ArcadeCar-000000;10156;17;17;203,1196;300;7,277461;75;31,86067;1;21;140,3599
6;Arcade;ArcadeCar-000000;2753;17;17;55,06256;300;25,9498;75;11,01108;4;19;7,809655
7;Arcade;ArcadeCar-000000;15000;12;17;300;300;3,741552;75;14,57867;4;21;261,6016
8;Arcade;ArcadeCar-000000;2556;17;17;51,11606;300;28,26403;75;12,81223;4;23;2,560369
9;Arcade;ArcadeCar-000000;2343;17;17;46,85496;300;30,23139;75;12,49209;1;19;3,01417
10;Arcade;ArcadeCar-000000;14999;5;17;300;300;2,133536;75;2,967103;1;16;284,6888
11;Arcade;ArcadeCar-000000;15001;8;17;300;300;2,879072;75;5,661081;2;20;277,8993
12;Arcade;ArcadeCar-000000;15000;11;17;300;300;3,786841;75;13,80493;4;21;261,8484
13;Arcade;ArcadeCar-000000;15000;1;17;300;300;0,7098056;75;0,257811;1;17;297,2507
14;Arcade;ArcadeCar-000000;2860;17;17;57,17866;300;24,41478;75;22,29241;3;24;4,434618
15;Arcade;ArcadeCar-000000;13811;17;17;276,2229;300;5,606657;75;113,348;3;16;227,9689
16;Arcade;ArcadeCar-000000;15000;10;17;300;300;3,611958;75;9,999498;4;20;268,5891
17;Arcade;ArcadeCar-000000;2434;17;17;48,66846;300;29,23593;75;14,16837;2;17;0,355673
18;Arcade;ArcadeCar-000000;12803;17;17;256,0517;300;5,932162;75;15,48453;6;21;202,9863
19;Arcade;ArcadeCar-000000;2287;17;17;45,74655;300;30,7958;75;12,68966;2;18;0,236046
20;Arcade;ArcadeCar-000000;3640;17;17;72,80641;300;19,22128;75;32,87236;3;23;9,107876
21;Arcade;ArcadeCar-000000;2957;17;17;59,13915;300;24,02737;75;19,12404;2;20;7,426944
22;Arcade;ArcadeCar-000000;3302;17;17;66,03701;300;21,60078;75;12,39377;4;20;18,55647
23;Arcade;ArcadeCar-000000;3150;17;17;62,99773;300;22,0428;75;19,16159;3;20;10,96631
24;Arcade;ArcadeCar-000000;3477;17;17;69,53964;300;20,08114;75;15,34083;7;21;15,29192
25;Arcade;ArcadeCar-000000;2796;17;17;55,92327;300;25,00591;75;20,40664;4;17;4,292187
26;Arcade;ArcadeCar-000000;2528;17;17;50,55687;300;27,88603;75;15,37914;1;18;3,773934
27;Arcade;ArcadeCar-000000;2858;17;17;57,164;300;24,33694;75;29,61294;0;18;0
28;Arcade;ArcadeCar-000000;2646;17;17;52,92116;300;27,0045;75;15,79122;2;17;3,139038
29;Arcade;ArcadeCar-000000;15000;1;17;300;300;0,706539;75;0,2598274;1;18;296,805
30;Arcade;ArcadeCar-000000;2430;17;17;48,59277;300;28,84215;75;18,346;0;23;0
31;Arcade;ArcadeCar-000000;3060;17;17;61,19986;300;22,10959;75;25,19476;2;13;3,824135
32;Arcade;ArcadeCar-000000;15000;2;17;300;300;1,275898;75;293,8288;1;20;293,421
33;Arcade;ArcadeCar-000000;2311;17;17;46,19945;300;30,62191;75;16,10806;1;23;0,1381442
34;Arcade;ArcadeCar-000000;8429;17;17;168,5919;300;8,610169;75;26,86923;4;20;110,6946
35;Arcade;ArcadeCar-000000;2427;17;17;48,54167;300;29,92217;75;16,80306;0;17;0
36;Arcade;ArcadeCar-000000;11647;17;17;232,9415;300;6,628037;75;6,03194;4;21;192,3797
37;Arcade;ArcadeCar-000000;3055;17;17;61,07915;300;22,72645;75;21,65811;2;20;6,904044
38;Arcade;ArcadeCar-000000;14999;9;17;300;300;3,114542;75;14,21056;4;22;262,2431
39;Arcade;ArcadeCar-000000;15000;9;17;300;300;3,110244;75;15,15203;2;18;266,2204
40;Arcade;ArcadeCar-000000;9801;17;17;196,0102;300;7,615714;75;23,46848;2;20;140,6022
41;Arcade;ArcadeCar-000000;6616;17;17;132,3167;300;10,71347;75;26,19445;4;21;74,89172
42;Arcade;ArcadeCar-000000;2792;17;17;55,84142;300;26,08216;75;14,90606;2;20;5,558639
43;Arcade;ArcadeCar-000000;2928;17;17;58,56134;300;23,46935;75;19,95664;2;19;7,468309
44;Arcade;ArcadeCar-000000;2593;17;17;51,84694;300;27,57483;75;20,46806;0;17;0
45;Arcade;ArcadeCar-000000;2979;17;17;59,58966;300;24,33218;75;22,91978;3;17;14,68514
46;Arcade;ArcadeCar-000000;4334;17;17;86,68118;300;16,40262;75;16,60592;2;17;37,2551
47;Arcade;ArcadeCar-000000;2375;17;17;47,50084;300;30,19506;75;16,25591;0;19;0
48;Arcade;ArcadeCar-000000;5266;17;17;105,3138;300;13,35339;75;21,75948;3;16;52,73729
49;Arcade;ArcadeCar-000000;14999;8;17;300;300;2,842485;75;7,952475;2;22;276,151
50;Arcade;ArcadeCar-000000;2481;17;17;49,59352;300;28,73699;75;12,31378;1;19;4,404725
0;Arcade;ArcadeCar-99916;2794;17;17;55,87579;300;25,45345;75;8,449875;6;19;8,750587
1;Arcade;ArcadeCar-99916;14999;2;17;300;300;1,11496;75;0,2712112;1;16;294,8137
2;Arcade;ArcadeCar-99916;15001;4;17;300;300;1,889739;75;288,7135;1;19;287,2851
3;Arcade;ArcadeCar-99916;15000;15;17;300;300;4,495186;75;16,53106;2;18;255,0553
4;Arcade;ArcadeCar-99916;2142;17;17;42,82521;300;33,43008;75;10,08377;0;15;0
5;Arcade;ArcadeCar-99916;15000;14;17;300;300;4,442042;75;9,970243;3;22;258,2203
6;Arcade;ArcadeCar-99916;5217;17;17;104,3334;300;13,66642;75;10,44818;2;24;59,45908
7;Arcade;ArcadeCar-99916;15000;8;17;300;300;2,987406;75;124,6857;2;23;269,4938
8;Arcade;ArcadeCar-99916;10774;17;17;215,4736;300;7,060734;75;7,371902;6;15;168,8144
9;Arcade;ArcadeCar-99916;15000;12;17;300;300;4,065787;75;275,7254;3;23;267,8592
