Trial ID;Game Type;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;Retraining Steps
0;Arcade;4243;23;23;84,85938;300;24,66077;75;49,32914;0;0;0
1;Arcade;4347;23;23;86,9398;300;23,78424;75;101,7859;0;0;0
2;Arcade;3466;23;23;69,31664;300;30,27854;75;132,7662;0;0;0
3;Arcade;4686;23;23;93,46271;300;22,54596;75;191,4835;0;0;0
4;Arcade;4364;23;23;87,5379;300;23,47759;75;247,1745;0;0;0
5;Arcade;5159;23;23;103,18;300;20,14647;75;317,3675;0;0;0
6;Arcade;4415;23;23;88,29916;300;24,08794;75;370,732;0;0;0
7;Arcade;5006;23;23;100,1215;300;21,09631;75;436,8745;0;0;0
8;Arcade;2966;23;23;59,31884;300;35,93704;75;455,1192;0;0;0
9;Arcade;3958;20;23;300;300;23,48465;75;502,7835;0;0;0
10;Arcade;4671;23;23;93,41953;300;22,25581;75;561,8748;0;0;0
11;Arcade;4551;23;23;91,02082;300;23,04326;75;618,0139;0;0;0
12;Arcade;3713;23;23;74,26035;300;28,30177;75;655,2498;0;0;0
13;Arcade;4686;23;23;93,72129;300;22,27397;75;714,778;0;0;0
14;Arcade;4624;23;23;92,47979;300;22,69426;75;772,9117;0;0;0
15;Arcade;4145;20;23;300;300;22,12526;75;826,4407;0;0;0
16;Arcade;4016;23;23;80,31824;300;27,28758;75;866,8586;0;0;0
17;Arcade;3930;23;23;78,5993;300;26,45473;75;909,7324;0;0;0
18;Arcade;4802;23;23;96,03936;300;21,91995;75;970,5229;0;0;0
19;Arcade;4904;23;23;98,07922;300;21,41721;75;1035,399;0;0;0
20;Arcade;3693;23;23;73,8607;300;28,82599;75;1070,131;0;0;0
21;Arcade;3060;23;23;61,20061;300;34,73818;75;1091,428;0;0;0
22;Arcade;4859;23;23;97,18031;300;21,48163;75;1155,186;0;0;0
23;Arcade;4515;23;23;90,29958;300;23,16928;75;1209,839;0;0;0
24;Arcade;2972;14;23;300;300;23,20816;75;1245,647;0;0;0
25;Arcade;4449;23;23;88,97922;300;23,7174;75;1299,286;0;0;0
0;Arcade;3143;23;23;62,85741;300;35,26228;75;19,78521;0;0;500000
1;Arcade;3065;23;23;61,30176;300;35,90751;75;39,39625;0;0;500000
2;Arcade;3345;23;23;66,89675;300;33,2515;75;63,79269;0;0;500000
3;Arcade;3091;23;23;61,82277;300;35,94375;75;83,74805;0;0;500000
4;Arcade;3111;23;23;62,21775;300;34,88916;75;103,6545;0;0;500000
5;Arcade;3029;23;23;60,58192;300;36,2344;75;121,7085;0;0;500000
6;Arcade;3104;23;23;62,07932;300;35,63791;75;140,912;0;0;500000
7;Arcade;3173;23;23;63,45915;300;35,09044;75;161,1364;0;0;500000
8;Arcade;3025;23;23;60,50263;300;35,8852;75;179,1929;0;0;500000
9;Arcade;3275;23;23;65,499;300;33,68477;75;202,2824;0;0;500000
10;Arcade;3222;23;23;64,44039;300;34,68792;75;224,0211;0;0;500000
11;Arcade;3174;23;23;63,47825;300;34,63411;75;245,5741;0;0;500000
12;Arcade;3234;23;23;64,67918;300;34,31664;75;267,4711;0;0;500000
13;Arcade;3094;23;23;61,88277;300;35,72229;75;287,2298;0;0;500000
14;Arcade;3198;23;23;63,95954;300;34,85687;75;308,0074;0;0;500000
15;Arcade;3185;23;23;63,70047;300;34,5925;75;329,0241;0;0;500000
16;Arcade;2917;23;23;58,33677;300;37,14924;75;344,8856;0;0;500000
17;Arcade;3307;23;23;66,14172;300;33,38904;75;368,9368;0;0;500000
18;Arcade;3032;23;23;60,44795;300;36,24066;75;386,8884;0;0;500000
19;Arcade;3275;23;23;65,6935;300;33,58812;75;410,3259;0;0;500000
20;Arcade;3134;23;23;62,67671;300;35,03259;75;430,605;0;0;500000
21;Arcade;3303;23;23;66,06075;300;33,65091;75;454,2889;0;0;500000
22;Arcade;3217;23;23;64,33999;300;34,39799;75;476,0648;0;0;500000
23;Arcade;3224;23;23;64,48094;300;34,04378;75;498,0393;0;0;500000
24;Arcade;3238;23;23;64,76112;300;33,9192;75;520,2607;0;0;500000
25;Arcade;3081;23;23;61,61696;300;35,86752;75;539,3228;0;0;500000
0;Arcade;3054;23;23;61.07951;300;36.02689;75;19.37368;0;0;1000000
1;Arcade;3124;23;23;62.48026;300;35.20114;75;41.0554;0;0;1000000
2;Arcade;2716;23;23;54.31919;300;40.34203;75;53.77435;0;0;1000000
3;Arcade;3090;23;23;61.79739;300;35.84519;75;74.04762;0;0;1000000
4;Arcade;2983;23;23;59.66164;300;36.97355;75;92.04342;0;0;1000000
5;Arcade;3064;23;23;61.27814;300;35.87709;75;112.9134;0;0;1000000
6;Arcade;2975;23;23;59.50011;300;37.24266;75;131.0811;0;0;1000000
7;Arcade;3055;23;23;61.1016;300;35.98503;75;151.3237;0;0;1000000
8;Arcade;2977;23;23;59.54009;300;36.81309;75;169.5565;0;0;1000000
9;Arcade;3131;23;23;62.61835;300;35.31929;75;191.5019;0;0;1000000
10;Arcade;3034;23;23;60.67982;300;36.19855;75;210.7078;0;0;1000000
11;Arcade;3004;23;23;60.08373;300;36.43503;75;229.6061;0;0;1000000
12;Arcade;2913;23;23;58.25893;300;37.61284;75;246.3143;0;0;1000000
13;Arcade;3038;23;23;60.75815;300;36.49691;75;265.5693;0;0;1000000
14;Arcade;2929;23;23;58.5827;300;37.39902;75;282.8928;0;0;1000000
15;Arcade;2966;23;23;59.31978;300;36.95573;75;300.8531;0;0;1000000
16;Arcade;2921;23;23;58.41651;300;37.42501;75;317.958;0;0;1000000
17;Arcade;3059;23;23;61.18199;300;35.82297;75;338.3409;0;0;1000000
18;Arcade;3020;23;23;60.39935;300;36.28804;75;357.6045;0;0;1000000
19;Arcade;3153;23;23;63.05901;300;34.72065;75;380.4854;0;0;1000000
20;Arcade;3004;23;23;60.08327;300;36.51822;75;399.3262;0;0;1000000
21;Arcade;2829;23;23;56.58043;300;38.51133;75;414.4513;0;0;1000000
22;Arcade;2832;23;23;56.63908;300;39.24898;75;428.9924;0;0;1000000
23;Arcade;2947;23;23;58.93986;300;37.27814;75;446.4959;0;0;1000000
24;Arcade;3045;23;23;60.8979;300;36.20618;75;465.7152;0;0;1000000
25;Arcade;3006;23;23;60.11902;300;36.46447;75;484.7355;0;0;1000000
0;Arcade;2905;23;23;58.09883;300;38.4833;75;16.14808;0;0;1500000
1;Arcade;3000;23;23;59.99721;300;37.01107;75;34.98632;0;0;1500000
2;Arcade;3052;23;23;61.0415;300;37.0856;75;54.12002;0;0;1500000
3;Arcade;2951;23;23;59.02156;300;38.02714;75;71.75333;0;0;1500000
4;Arcade;2925;23;23;58.498;300;38.23308;75;88.18971;0;0;1500000
5;Arcade;2877;23;23;57.54048;300;38.81827;75;103.9467;0;0;1500000
6;Arcade;2843;23;23;56.86192;300;39.04502;75;119.0258;0;0;1500000
7;Arcade;2882;23;23;57.63558;300;38.77951;75;134.5791;0;0;1500000
8;Arcade;2856;23;23;57.12067;300;39.01054;75;149.8647;0;0;1500000
9;Arcade;2840;23;23;56.79548;300;38.93448;75;165.4268;0;0;1500000
10;Arcade;2987;23;23;59.74775;300;37.54221;75;182.9292;0;0;1500000
11;Arcade;3030;23;23;60.6002;300;36.94751;75;202.2553;0;0;1500000
12;Arcade;2921;23;23;58.41665;300;38.30555;75;218.9921;0;0;1500000
13;Arcade;2961;23;23;59.21973;300;37.45712;75;237.0589;0;0;1500000
14;Arcade;2856;23;23;57.1227;300;38.89618;75;252.4178;0;0;1500000
15;Arcade;2834;23;23;56.67911;300;39.04115;75;267.5246;0;0;1500000
16;Arcade;2938;23;23;58.76125;300;38.28336;75;284.4975;0;0;1500000
17;Arcade;2884;23;23;57.67786;300;38.36627;75;300.748;0;0;1500000
18;Arcade;2828;23;23;56.56063;300;39.43415;75;315.3993;0;0;1500000
19;Arcade;2891;23;23;57.81945;300;38.51444;75;331.9163;0;0;1500000
20;Arcade;2707;20;23;300;300;37.23278;75;349.1658;0;0;1500000
21;Arcade;2919;23;23;58.38345;300;38.48094;75;365.8282;0;0;1500000
22;Arcade;2896;23;23;57.91957;300;38.22121;75;382.5903;0;0;1500000
23;Arcade;2995;23;23;59.89731;300;37.63192;75;400.9117;0;0;1500000
24;Arcade;2851;23;23;57.02248;300;39.08452;75;415.9009;0;0;1500000
25;Arcade;2883;23;23;57.66113;300;38.78339;75;431.7627;0;0;1500000
0;Arcade;2291;20;23;300;300;42.62035;75;10.51068;0;0;2000000
1;Arcade;2794;23;23;55.87864;300;39.47554;75;24.9332;0;0;2000000
2;Arcade;2822;23;23;56.44152;300;39.37021;75;39.78888;0;0;2000000
3;Arcade;2865;23;23;57.29999;300;38.9492;75;55.23119;0;0;2000000
4;Arcade;2787;23;23;55.73952;300;39.45766;75;69.47474;0;0;2000000
5;Arcade;2802;23;23;56.04019;300;39.51376;75;83.46031;0;0;2000000
6;Arcade;2804;23;23;56.0806;300;39.49691;75;98.18338;0;0;2000000
7;Arcade;2917;23;23;58.33802;300;38.38417;75;114.835;0;0;2000000
8;Arcade;2512;23;23;50.24007;300;42.92305;75;125.369;0;0;2000000
9;Arcade;2574;23;23;51.4818;300;42.06722;75;137.1216;0;0;2000000
10;Arcade;2814;23;23;56.27728;300;39.3641;75;151.906;0;0;2000000
11;Arcade;2501;23;23;50.02241;300;43.19121;75;162.4644;0;0;2000000
12;Arcade;2774;23;23;55.47952;300;39.66068;75;176.5459;0;0;2000000
13;Arcade;2822;23;23;56.43951;300;39.18964;75;191.6611;0;0;2000000
14;Arcade;3087;23;23;61.73983;300;36.41197;75;211.4697;0;0;2000000
15;Arcade;2778;23;23;55.55826;300;39.84551;75;226.1975;0;0;2000000
16;Arcade;2793;23;23;55.86282;300;39.61281;75;240.4668;0;0;2000000
17;Arcade;2926;23;23;58.51735;300;37.99016;75;256.9974;0;0;2000000
18;Arcade;2891;23;23;57.82126;300;38.60911;75;272.5963;0;0;2000000
19;Arcade;3079;23;23;61.57993;300;36.6399;75;291.5457;0;0;2000000
20;Arcade;2263;20;23;300;300;43.51385;75;301.7668;0;0;2000000
21;Arcade;2883;23;23;57.65974;300;38.59499;75;317.7623;0;0;2000000
22;Arcade;2524;23;23;50.48083;300;42.84995;75;328.4571;0;0;2000000
23;Arcade;2828;23;23;56.56032;300;39.42279;75;342.6503;0;0;2000000
24;Arcade;2702;23;23;54.03746;300;40.45821;75;356.2518;0;0;2000000
25;Arcade;2790;23;23;55.8009;300;39.58006;75;370.4266;0;0;2000000
