Trial ID;Game Type;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;4243;23;23;84,85938;300;24,66077;75;49,32914;0;0;
1;Arcade;4347;23;23;86,9398;300;23,78424;75;101,7859;0;0;
2;Arcade;3466;23;23;69,31664;300;30,27854;75;132,7662;0;0;
3;Arcade;4686;23;23;93,46271;300;22,54596;75;191,4835;0;0;
4;Arcade;4364;23;23;87,5379;300;23,47759;75;247,1745;0;0;
5;Arcade;5159;23;23;103,18;300;20,14647;75;317,3675;0;0;
6;Arcade;4415;23;23;88,29916;300;24,08794;75;370,732;0;0;
7;Arcade;5006;23;23;100,1215;300;21,09631;75;436,8745;0;0;
8;Arcade;2966;23;23;59,31884;300;35,93704;75;455,1192;0;0;
9;Arcade;3958;20;23;300;300;23,48465;75;502,7835;0;0;
10;Arcade;4671;23;23;93,41953;300;22,25581;75;561,8748;0;0;
11;Arcade;4551;23;23;91,02082;300;23,04326;75;618,0139;0;0;
12;Arcade;3713;23;23;74,26035;300;28,30177;75;655,2498;0;0;
13;Arcade;4686;23;23;93,72129;300;22,27397;75;714,778;0;0;
14;Arcade;4624;23;23;92,47979;300;22,69426;75;772,9117;0;0;
15;Arcade;4145;20;23;300;300;22,12526;75;826,4407;0;0;
16;Arcade;4016;23;23;80,31824;300;27,28758;75;866,8586;0;0;
17;Arcade;3930;23;23;78,5993;300;26,45473;75;909,7324;0;0;
18;Arcade;4802;23;23;96,03936;300;21,91995;75;970,5229;0;0;
19;Arcade;4904;23;23;98,07922;300;21,41721;75;1035,399;0;0;
20;Arcade;3693;23;23;73,8607;300;28,82599;75;1070,131;0;0;
21;Arcade;3060;23;23;61,20061;300;34,73818;75;1091,428;0;0;
22;Arcade;4859;23;23;97,18031;300;21,48163;75;1155,186;0;0;
23;Arcade;4515;23;23;90,29958;300;23,16928;75;1209,839;0;0;
24;Arcade;2972;14;23;300;300;23,20816;75;1245,647;0;0;
25;Arcade;4449;23;23;88,97922;300;23,7174;75;1299,286;0;0;
