Trial ID;Game Type;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;2501;23;23;50,01727;300;42,90964;75;8,938008;0;0;
1;Arcade;2466;23;23;49,31958;300;43,2219;75;18,35044;0;0;
2;Arcade;2539;23;23;50,7799;300;42,62998;75;27,59206;0;0;
3;Arcade;2527;23;23;50,5383;300;42,60309;75;37,16832;0;0;
4;Arcade;2667;23;23;53,34475;300;41,17189;75;48,69061;0;0;
5;Arcade;2503;23;23;50,05706;300;42,96425;75;57,29081;0;0;
6;Arcade;2497;23;23;49,93962;300;43,07441;75;65,4266;0;0;
7;Arcade;2513;23;23;50,2624;300;42,94166;75;74,10947;0;0;
8;Arcade;2447;23;23;48,93938;300;43,54893;75;82,16479;0;0;
9;Arcade;2465;23;23;49,29954;300;43,45974;75;90,21548;0;0;
10;Arcade;2504;23;23;50,08039;300;42,58723;75;99,5734;0;0;
11;Arcade;2499;23;23;49,98026;300;42,85272;75;108,0921;0;0;
12;Arcade;2475;23;23;49,49976;300;43,33558;75;116,0967;0;0;
13;Arcade;2507;23;23;50,14024;300;43,12581;75;124,5186;0;0;
14;Arcade;2412;23;23;48,23812;300;43,84522;75;131,5482;0;0;
15;Arcade;2512;23;23;50,24236;300;42,96436;75;140,3417;0;0;
16;Arcade;2516;23;23;50,31689;300;42,87231;75;148,6494;0;0;
17;Arcade;2460;23;23;49,20302;300;43,62435;75;155,7495;0;0;
18;Arcade;2479;23;23;49,57734;300;43,09056;75;164,0017;0;0;
19;Arcade;2457;23;23;49,14102;300;43,6837;75;171,3484;0;0;
20;Arcade;2748;23;23;54,96194;300;39,40466;75;184,3672;0;0;
21;Arcade;2525;23;23;50,49925;300;42,58116;75;193,2276;0;0;
22;Arcade;2524;23;23;50,48085;300;42,83421;75;202,4909;0;0;
23;Arcade;2498;23;23;49,95688;300;43,31638;75;210,2355;0;0;
24;Arcade;2435;23;23;48,70092;300;43,57336;75;217,7655;0;0;
25;Arcade;2463;23;23;49,25999;300;43,21145;75;225,4636;0;0;
