Trial ID;Game Type;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;2291;20;23;300;300;42.62035;75;10.51068;0;0;
1;Arcade;2794;23;23;55.87864;300;39.47554;75;24.9332;0;0;
2;Arcade;2822;23;23;56.44152;300;39.37021;75;39.78888;0;0;
3;Arcade;2865;23;23;57.29999;300;38.9492;75;55.23119;0;0;
4;Arcade;2787;23;23;55.73952;300;39.45766;75;69.47474;0;0;
5;Arcade;2802;23;23;56.04019;300;39.51376;75;83.46031;0;0;
6;Arcade;2804;23;23;56.0806;300;39.49691;75;98.18338;0;0;
7;Arcade;2917;23;23;58.33802;300;38.38417;75;114.835;0;0;
8;Arcade;2512;23;23;50.24007;300;42.92305;75;125.369;0;0;
9;Arcade;2574;23;23;51.4818;300;42.06722;75;137.1216;0;0;
10;Arcade;2814;23;23;56.27728;300;39.3641;75;151.906;0;0;
11;Arcade;2501;23;23;50.02241;300;43.19121;75;162.4644;0;0;
12;Arcade;2774;23;23;55.47952;300;39.66068;75;176.5459;0;0;
13;Arcade;2822;23;23;56.43951;300;39.18964;75;191.6611;0;0;
14;Arcade;3087;23;23;61.73983;300;36.41197;75;211.4697;0;0;
15;Arcade;2778;23;23;55.55826;300;39.84551;75;226.1975;0;0;
16;Arcade;2793;23;23;55.86282;300;39.61281;75;240.4668;0;0;
17;Arcade;2926;23;23;58.51735;300;37.99016;75;256.9974;0;0;
18;Arcade;2891;23;23;57.82126;300;38.60911;75;272.5963;0;0;
19;Arcade;3079;23;23;61.57993;300;36.6399;75;291.5457;0;0;
20;Arcade;2263;20;23;300;300;43.51385;75;301.7668;0;0;
21;Arcade;2883;23;23;57.65974;300;38.59499;75;317.7623;0;0;
22;Arcade;2524;23;23;50.48083;300;42.84995;75;328.4571;0;0;
23;Arcade;2828;23;23;56.56032;300;39.42279;75;342.6503;0;0;
24;Arcade;2702;23;23;54.03746;300;40.45821;75;356.2518;0;0;
25;Arcade;2790;23;23;55.8009;300;39.58006;75;370.4266;0;0;
