Trial ID;Game Type;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;3054;23;23;61.07951;300;36.02689;75;19.37368;0;0;
1;Arcade;3124;23;23;62.48026;300;35.20114;75;41.0554;0;0;
2;Arcade;2716;23;23;54.31919;300;40.34203;75;53.77435;0;0;
3;Arcade;3090;23;23;61.79739;300;35.84519;75;74.04762;0;0;
4;Arcade;2983;23;23;59.66164;300;36.97355;75;92.04342;0;0;
5;Arcade;3064;23;23;61.27814;300;35.87709;75;112.9134;0;0;
6;Arcade;2975;23;23;59.50011;300;37.24266;75;131.0811;0;0;
7;Arcade;3055;23;23;61.1016;300;35.98503;75;151.3237;0;0;
8;Arcade;2977;23;23;59.54009;300;36.81309;75;169.5565;0;0;
9;Arcade;3131;23;23;62.61835;300;35.31929;75;191.5019;0;0;
10;Arcade;3034;23;23;60.67982;300;36.19855;75;210.7078;0;0;
11;Arcade;3004;23;23;60.08373;300;36.43503;75;229.6061;0;0;
12;Arcade;2913;23;23;58.25893;300;37.61284;75;246.3143;0;0;
13;Arcade;3038;23;23;60.75815;300;36.49691;75;265.5693;0;0;
14;Arcade;2929;23;23;58.5827;300;37.39902;75;282.8928;0;0;
15;Arcade;2966;23;23;59.31978;300;36.95573;75;300.8531;0;0;
16;Arcade;2921;23;23;58.41651;300;37.42501;75;317.958;0;0;
17;Arcade;3059;23;23;61.18199;300;35.82297;75;338.3409;0;0;
18;Arcade;3020;23;23;60.39935;300;36.28804;75;357.6045;0;0;
19;Arcade;3153;23;23;63.05901;300;34.72065;75;380.4854;0;0;
20;Arcade;3004;23;23;60.08327;300;36.51822;75;399.3262;0;0;
21;Arcade;2829;23;23;56.58043;300;38.51133;75;414.4513;0;0;
22;Arcade;2832;23;23;56.63908;300;39.24898;75;428.9924;0;0;
23;Arcade;2947;23;23;58.93986;300;37.27814;75;446.4959;0;0;
24;Arcade;3045;23;23;60.8979;300;36.20618;75;465.7152;0;0;
25;Arcade;3006;23;23;60.11902;300;36.46447;75;484.7355;0;0;
