Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;ArcadeCar-99923;3698;23;23;73.94982;300;28.37967;75;37.53512;0;0;
1;Arcade;ArcadeCar-99923;2816;23;23;56.30919;300;37.1965;75;17.27921;0;0;
2;Arcade;ArcadeCar-99923;3937;23;23;78.6901;300;26.63628;75;42.6529;0;0;
3;Arcade;ArcadeCar-99923;4003;23;23;80.09251;300;26.4819;75;42.79375;0;0;
4;Arcade;ArcadeCar-99923;3155;23;23;63.13415;300;33.46651;75;24.12875;0;0;
5;Arcade;ArcadeCar-99923;3491;23;23;69.81001;300;29.95748;75;32.66497;0;0;
6;Arcade;ArcadeCar-99923;3740;23;23;74.77389;300;28.09817;75;37.84784;0;0;
7;Arcade;ArcadeCar-99923;3524;23;23;70.45087;300;29.81561;75;32.31749;0;0;
8;Arcade;ArcadeCar-99923;3723;23;23;74.50037;300;28.43537;75;36.49529;0;0;
9;Arcade;ArcadeCar-99923;3026;23;23;60.47842;300;35.1236;75;21.16425;0;0;
10;Arcade;ArcadeCar-99923;3206;23;23;64.15054;300;33.30877;75;25.58169;0;0;
11;Arcade;ArcadeCar-99923;2771;23;23;55.41275;300;38.40493;75;15.19189;0;0;
12;Arcade;ArcadeCar-99923;3412;23;23;68.23659;300;30.87376;75;30.70861;0;0;
13;Arcade;ArcadeCar-99923;3781;23;23;75.60977;300;28.16798;75;38.42322;0;0;
14;Arcade;ArcadeCar-99923;3502;23;23;70.07255;300;29.76401;75;32.91411;0;0;
15;Arcade;ArcadeCar-99923;2818;23;23;56.32136;300;37.71666;75;16.06932;0;0;
16;Arcade;ArcadeCar-99923;3836;23;23;76.78126;300;27.40122;75;39.67805;0;0;
17;Arcade;ArcadeCar-99923;2932;23;23;58.62101;300;36.13086;75;18.65008;0;0;
18;Arcade;ArcadeCar-99923;2927;23;23;58.4997;300;35.91948;75;19.99596;0;0;
19;Arcade;ArcadeCar-99923;3474;23;23;69.54021;300;30.3512;75;31.59185;0;0;
20;Arcade;ArcadeCar-99923;3385;23;23;67.66687;300;31.27785;75;29.12246;0;0;
21;Arcade;ArcadeCar-99923;3548;23;23;70.94729;300;29.70702;75;33.84321;0;0;
22;Arcade;ArcadeCar-99923;4339;23;23;86.808;300;24.32143;75;51.47998;0;0;
23;Arcade;ArcadeCar-99923;3779;23;23;75.5954;300;27.92423;75;38.44356;0;0;
24;Arcade;ArcadeCar-99923;3340;23;23;66.77296;300;31.4092;75;29.66262;0;0;
25;Arcade;ArcadeCar-99923;3530;23;23;70.5732;300;29.68592;75;33.45086;0;0;
26;Arcade;ArcadeCar-99923;3024;23;23;60.52403;300;34.96696;75;20.82797;0;0;
